AUV X [m],AUV Y [m],AUV Z [m],AUV Heading [Degrees],Time Stamp [s]
1.601931131051056,1.351629695115403,2.474605415154012,114.22181270610092,10.6
1.5936910725860325,1.3299288184080962,2.4669289088499413,114.12141755389523,10.7
1.5851559316940582,1.3056159082943417,2.4629659261405137,113.99711997332705,10.8
1.5765727402263918,1.2802502740750803,2.4597811811749266,113.75637442329284,10.9
1.5671291815468962,1.2552876853842505,2.459116601943001,113.50349403010185,11.0
1.5576600338477566,1.2312327945176968,2.4583857545550964,113.2336940303721,11.1
1.5463498213795723,1.2104995596455286,2.459630726583275,112.92843838330637,11.2
1.532857548464192,1.1947122747449523,2.463892431119154,112.53691475920513,11.3
1.5201848626820316,1.1915873322851502,2.4732964177691366,112.54663337833043,11.4
1.5060520525887628,1.1959890852676616,2.471256323621174,113.01334847302549,11.5
1.4901363102235679,1.2079908728306588,2.473310519358569,112.68791400543759,11.6
1.480419550193282,1.222846150934122,2.4761866358578524,112.83751375180411,11.7
1.4712732643052706,1.2411724828631272,2.4807234916820726,112.85391876167077,11.8
1.4621985217420757,1.2624852813080698,2.4876049824439903,112.84805210317862,11.9
1.4542890960105985,1.2850372856688739,2.4937764661381463,112.7544304491515,12.0
1.447301057337854,1.3093926812095376,2.502314005412968,112.61446836390171,12.1
1.4414400468397806,1.3360423708092601,2.511357747423394,112.44328776584715,12.2
1.435751755579815,1.3657453983236092,2.5212387098552407,112.30079090456016,12.3
1.4276267171706467,1.399496004883243,2.5216767954027928,112.04199985224625,12.4
1.4177277382813067,1.4319270811804992,2.5318101344109243,111.58170540273254,12.5
1.4144008932260348,1.4607541724172168,2.5379463315397737,111.27538132812245,12.6
1.4071994521543092,1.487149786971926,2.541736423503334,110.71142666252572,12.7
1.4033981708296064,1.50921617709988,2.546653335470224,110.21164712313248,12.8
1.4011938569022597,1.5274912525583486,2.544009354142284,109.65728307371224,12.9
1.4028333282788652,1.5307226629752038,2.557167732839446,108.97832101567931,13.0
1.405169253230552,1.525279677073447,2.568497011108467,108.24997260714227,13.1
1.4069579973840765,1.5097997285700824,2.567657781571955,107.33148606237162,13.2
1.411958981947492,1.4830700611902703,2.5686878008701974,106.47119969696344,13.3
1.42030533795807,1.4441094358846633,2.5844916758224405,105.58144281054265,13.4
1.4276275262202098,1.397499055907238,2.6022915830362794,104.71127753863789,13.5
1.4334264918661284,1.3449687013991833,2.6209707035065337,104.12810763653081,13.6
1.4361702649407366,1.2904425215334772,2.641355090025458,103.21549039957449,13.7
1.4351972528053647,1.2353374904341121,2.661767388383718,102.34393978513215,13.8
1.4311316674217447,1.1816476074250966,2.6879115853581457,101.49813347385809,13.9
1.4218743353011618,1.1436590364844297,2.69728398044033,100.8813764074043,14.0
1.4090513642651659,1.1162501857310128,2.6968136747085363,100.4956093292783,14.1
1.3971681680209567,1.0949752942973647,2.7105826312012664,100.20548775935288,14.2
1.3832368844643397,1.078743357548232,2.7214767999686464,99.78772534319351,14.3
1.3695755050351304,1.0685386259130747,2.728285685871315,99.46554897403648,14.4
1.3559974254985343,1.0636348397198294,2.732878523135759,99.02817761315768,14.5
